Sensor,Vertical Position,Horizontal Position,X,Y,Z
32,2,-2,2141,10236,-20411
32,2,-1,2320,5323,-24092
32,2,1,2268,-5520,-24240
32,2,2,2113,-9281,-21878
32,3,-2,-757,10654,-21058
32,3,-1,-842,5566,-24884
32,3,1,-912,-5775,-24980
32,3,2,-906,-9615,-22528
32,4,-2,-3796,10508,-20539
32,4,-1,-4145,5531,-24315
32,4,1,-4247,-5833,-24311
32,4,2,-4075,-9446,-21905
32,5,-2,-6956,9641,-18464
32,5,-1,-7646,5134,-21912
32,5,1,-7726,-5428,-21833
32,5,2,-7347,-8651,-19602
32,6,-2,-9746,7416,-15271
32,6,-1,-10615,4268,-16952
32,6,1,-10664,-4496,-16807
32,6,2,-10245,-6193,-16050
34,0,-2,7264,8244,-14751
34,0,-1,8012,4678,-17451
34,0,1,8091,-2219,-17750
34,0,2,7705,-5030,-16363
34,1,-2,5113,9504,-17683
34,1,-1,5570,5344,-20927
34,1,1,5615,-2731,-21380
34,1,2,5335,-6183,-19559
34,2,-2,2401,10325,-19472
34,2,-1,2584,5687,-23012
34,2,1,2587,-3219,-23406
34,2,2,2459,-6920,-21382
34,3,-2,-298,10614,-20050
34,3,-1,-372,5829,-23689
34,3,1,-413,-3511,-24010
34,3,2,-405,-7202,-21918
34,4,-2,-3134,10323,-19635
34,4,-1,-3470,5720,-23108
34,4,1,-3546,-3608,-23305
34,4,2,-3399,-7052,-21265
34,5,-2,-6026,9471,-17743
34,5,-1,-6686,5317,-20833
34,5,1,-6777,-3326,-20925
34,5,2,-6464,-6319,-19051
34,6,-2,-8506,7415,-14923
34,6,-1,-9323,4548,-16314
34,6,1,-9410,-2560,-16282
34,6,2,-9087,-4081,-15702
37,0,-2,6912,6676,-15029
37,0,-1,7515,3924,-17402
37,0,1,7681,-4064,-18138
37,0,2,7332,-6660,-16821
37,1,-2,4905,7927,-17624
37,1,-1,5279,4863,-20392
37,1,1,5389,-4363,-21686
37,1,2,5132,-7744,-19945
37,2,-2,2323,8835,-19221
37,2,-1,2473,5462,-22301
37,2,1,2470,-4554,-23745
37,2,2,2336,-8378,-21789
37,3,-2,-267,9239,-19675
37,3,-1,-336,5794,-22872
37,3,1,-463,-4591,-24414
37,3,2,-466,-8571,-22367
37,4,-2,-3015,9083,-19067
37,4,-1,-3333,5782,-22188
37,4,1,-3597,-4480,-23721
37,4,2,-3449,-8314,-21709
37,5,-2,-5857,8265,-16968
37,5,-1,-6461,5353,-19737
37,5,1,-6901,-3989,-21170
37,5,2,-6571,-7471,-19325
37,6,-2,-8287,6100,-13979
37,6,-1,-8909,4355,-14971
37,6,1,-9501,-3068,-16063
37,6,2,-9156,-4858,-15637
